1055.92563595	-6225.41719328	353012.25647200	3044990.06066600
1519.82480838	-6218.35992584	354010.26680100	3044989.00233100
1064.52244166	-6697.86577276	353013.31480700	3043987.81699500
1528.40449722	-6689.81070904	354011.32513700	3043988.87533100
4765.51561712	-5691.84284373	361010.49434300	3045993.49496500
5229.91527876	-5685.27646175	362009.56300800	3045991.37829400
5704.32762870	-6147.64233331	363012.86501500	3044994.42630000
6169.69403464	-6140.06212911	364014.05035100	3044994.42630000
6178.77421244	-6612.00379763	364016.16702100	3043993.24096400
5713.44204042	-6621.57959456	363014.98168600	3043989.00762300
