,District,LocalUnit,Status,Pop_2011,Pop_2021
,SOLUKHUMBU,Thulung Dudhkoshi,Rural Municipality,19691,18354
,SUNSARI,Barah,Municipality,77604,91087
,SUNSARI,Barju,Rural Municipality,31180,36249
,SUNSARI,Bhokraha Narsingh,Rural Municipality,40636,49280
,SUNSARI,Dewanganj,Rural Municipality,35283,39030
,SUNSARI,Dharan,Sub-Metropolis,141439,166531
,SUNSARI,Duhabi,Municipality,56573,66074
,SUNSARI,Gadhi,Rural Municipality,34852,38739
,SUNSARI,Harinagar,Rural Municipality,41070,49845
,SUNSARI,Inaruwa,Municipality,64749,74914
,SUNSARI,Itahari,Sub-Metropolis,143786,197241
,SUNSARI,Koshi,Rural Municipality,43987,48804
,SUNSARI,Koshi Tappu Wildlife Reserve,Wildlife Reserve,0,0
,SUNSARI,Ramdhuni,Municipality,52328,63452
,SURKHET,Barahtal,Rural Municipality,26820,25943
,SURKHET,Bheriganga,Municipality,41865,48203
,SURKHET,Birendranagar,Municipality,105107,153863
,SURKHET,Chaukune,Rural Municipality,25240,26950
,SURKHET,Chingad,Rural Municipality,17275,15600
,SURKHET,Gurbhakot,Municipality,44359,48216
,SURKHET,Lekbeshi,Municipality,31583,31710
,SURKHET,Panchpuri,Municipality,32236,35839
,SURKHET,Simta,Rural Municipality,26319,24083
,SYANGJA,Aandhikhola,Rural Municipality,16595,13094
,SYANGJA,Arjunchaupari,Rural Municipality,16179,14045
,SYANGJA,Bhirkot,Municipality,25584,22645
,SYANGJA,Biruwa,Rural Municipality,18413,14001
,SYANGJA,Chapakot,Municipality,26101,22969
,SYANGJA,Galyang,Municipality,37821,31034
,SYANGJA,Harinas,Rural Municipality,17343,13191
,SYANGJA,Kaligandagi,Rural Municipality,21824,17955
,SYANGJA,Phedikhola,Rural Municipality,12341,10899
,SYANGJA,Putalibazar,Municipality,45510,41743
,SYANGJA,Waling,Municipality,51437,50488
,TANAHU,Anbukhaireni,Rural Municipality,20840,22252
,TANAHU,Bandipur,Rural Municipality,20077,18532
,TANAHU,Bhanu,Municipality,46179,42794
,TANAHU,Bhimad,Municipality,31362,29248
,TANAHU,Byas,Municipality,71051,78939
,TANAHU,Devghat,Rural Municipality,16478,14584
,TANAHU,Ghiring,Rural Municipality,19318,14334
,TANAHU,Myagde,Rural Municipality,22502,23578
,TANAHU,Rhishing,Rural Municipality,25870,17918
,TANAHU,Shuklagandaki,Municipality,49611,55620
,TAPLEJUNG,Aathrai Tribeni,Rural Municipality,13784,12296
,TAPLEJUNG,Maiwakhola,Rural Municipality,11094,10213
,TAPLEJUNG,Meringden,Rural Municipality,13284,11838
,TAPLEJUNG,Mikwakhola,Rural Municipality,9160,7964
,TAPLEJUNG,Pathibhara Yangwarak,Rural Municipality,13591,11806
,TAPLEJUNG,Phaktanglung,Rural Municipality,12017,11791
,TAPLEJUNG,Phungling,Municipality,26626,28449
,TAPLEJUNG,Sidingba,Rural Municipality,12099,10979
,TAPLEJUNG,Sirijangha,Rural Municipality,15806,14114
,TERHATHUM,Aathrai,Rural Municipality,21747,18156
,TERHATHUM,Chhathar,Rural Municipality,16715,14197
,TERHATHUM,Laligurans,Municipality,17000,15329
,TERHATHUM,Menchayam,Rural Municipality,8078,6678
,TERHATHUM,Myanglung,Municipality,20337,18750
,TERHATHUM,Phedap,Rural Municipality,17700,15169
,UDAYAPUR,Belaka,Municipality,42450,51043
,UDAYAPUR,Chaudandigadhi,Municipality,48750,53631
,UDAYAPUR,Katari,Municipality,56545,59507
,UDAYAPUR,Koshi Tappu Wildlife Reserve,Wildlife Reserve,0,0
,UDAYAPUR,Rautamai,Rural Municipality,23481,20324
,UDAYAPUR,Sunkoshi,Rural Municipality,11992,9689
,UDAYAPUR,Tapli,Rural Municipality,14567,13344
,UDAYAPUR,Triyuga,Municipality,88967,102725
,UDAYAPUR,Udayapurgadhi,Rural Municipality,30780,28926
